odtItemId,odtId,odtOrdenId,odtDescripcion,productoId,codigoInterno,nombre,cantidad,estado,obs
1060,2408,4361,OT #8273 — 30 dias habiles,111,MK-08,SET FIGURAS GEOMETRICAS,1,Pendiente,SET DE FORMAS GEOMÃ‰TRICAS VARIADAS QUE INCENTIVA LA CONSTRUCCIÃ“N DE FIGURAS. DIMENSIONES: 10 PIEZAS. - 1 RAMPA 40X40X20 CM. - 2 CUADRADOS 40X40X20 CM. - 4 CUBOS 20X20 CM. - 2 CILINDROS 40X20 CM. - 1 RECTÃNGULO 40X20X10 CM
1062,2408,4361,OT #8273 — 30 dias habiles,992,MK-35,KIT CABALLETE,1,Pendiente,"PERMITE DESARROLLAR HABILIDADES MOTORAS, CAPACIDAD DE EQUILIBRIO Y ORIENTACIÃ“N EN EL ESPACIO. FAVORECE LA ESTABILIDAD DEL TRONCO Y LA COORDINACIÃ“N DE LAS EXTREMIDADES. DIMENSIONES: 150 X 40 CM. MATERIAL: TAPIZ CUEROTEX SOPORTADO LAVABLE E IMPERMEABLE, ANTIFLAMA Y ATOXICA SEGÃšN CERTIFICACIÃ“N."
1064,2415,4363,OT #8292 — DESPACHO MAXIMO A MEDIADOS DE NOVIEMBRE---,1023,MK-61,VESTIBULADOR FLEXOR,1,Pendiente,RECONOCER NOCIONES ESPACIALES SUBIR BAJAR. DIMENSIONES: 60 CM DIÃMETRO BASE 65 CM ALTO. INCLUYE CADENAS Y GRIFAS PARA COLGAR. MATERIAL: TAPIZ CUEROTEX SOPORTADO LAVABLE E IMPERMEABLE ANTIFLAMA Y ATOXICA SEGÃšN CERTIFICACIÃ“N
1065,2415,4363,OT #8292 — DESPACHO MAXIMO A MEDIADOS DE NOVIEMBRE---,1016,MK-59,VESTIBULADOR ROLLO COLUMPIO,1,Pendiente,DESARROLLADO PARA LA INTEGRACIÃ“N SENSORIAL EQUILIBRIO REGULACIÃ“N DEL TONO TRABAJOS CON LA FUERZA DE LA GRAVEDAD ACTIVACIÃ“N DEL CUERPO A LAS REACCIONES ESTABILIDAD DEL LOS PATRONES MOTORES DE TRONCO Y EXTREMIDADES. IMPLEMENTO ESPECIALMENTE ORIENTADO A ROLES ESPECÃFICOS DE TERAPIAS COMPLEJAS. POSEE REVESTIMIENTO INTERIORINCLUYE GRIFASE IMPLEMENTOS PARA FACILITAR EL ANCLAJE DIMENSIONES : 100 X 30 X 120 CM INCLUYE CADENAS Y GRIFAS PARA COLGAR TIPO DE
1067,2415,4363,OT #8292 — DESPACHO MAXIMO A MEDIADOS DE NOVIEMBRE---,982,MK-32,RULO,1,Pendiente,"ESTE RULO PERMITE QUE LOS NIÃ‘OS EXPERIMENTEN GIROS, TRABAJEN LOS CONCEPTOS DENTRO - AFUERA Y AMPLÃEN EL MANEJO DE SU CUERPO EN EL ESPACIO DENTRO DE UN CONTEXTO DE SEGURIDAD. DIÃMETRO: 60 CM EXTERIOR, 40 CM INTERIOR, 75 CM LARGO. MATERIAL: TAPIZ CUEROTEX SOPORTADO LAVABLE E IMPERMEABLE, ANTI FLAMA Y ATÃ“XICA SEGÃšN CERTIFICACIÃ“N."
1068,2415,4363,OT #8292 — DESPACHO MAXIMO A MEDIADOS DE NOVIEMBRE---,62,MK-02,PISCINA SENSORIAL RECTANGULAR,1,Pendiente,"ESPACIO CERRADO, EN UN ENTORNO SEGURO. TRABAJO MOTRIZ Y DESARROLLO SENSORIAL. CON REVESTIMIENTO INTERIOR EN TODO SU CONTORNO. DIMENSIONES:100 X 190 X 70 CMS."
1071,2422,4372,OT #8308 — No hay,111,MK-08,SET FIGURAS GEOMETRICAS,2,Pendiente,SET DE FORMAS GEOMÃ‰TRICAS VARIADAS QUE INCENTIVA LA CONSTRUCCIÃ“N DE FIGURAS. DIMENSIONES: 10 PIEZAS. - 1 RAMPA 40X40X20 CM. - 2 CUADRADOS 40X40X20 CM. - 4 CUBOS 20X20 CM. - 2 CILINDROS 40X20 CM. - 1 RECTÃNGULO 40X20X10 CM.
1075,2439,4378,OT #8344 — No hay,11584,MK-99,GIMNASIO INTERACTIVO,2,Pendiente,
1081,2383,4403,OT #8192 — 25 DIAS HABILES,5263,CUBOS,CUBOS,4,Pendiente,Dimens  50 x 50 x 50 cms.color verde y azul
1082,2392,4411,OT #8232 — No hay,118,MK-12,CIRCUITO,1,Pendiente,"ESTE CIRCUITO TRABAJA CONCEPTOS ESPECÃFICOS, SUBIR, BAJAR, VOLTEAR. ADEMÃS DESARROLLO PERMITE EL DESARROLLO SENSORIAL. DIMENSIONES: ESCALA 50X50X25 CM. CUADRADO 50X50X25 CM. RAMPA 50X50X25 CM.  "
1086,2384,4420,OT #8195 — 20 dias habiles,962,MK-29,CUBO FANTASIA,1,Pendiente,
1088,2434,4429,OT #8334 — No hay,6908,MK-422,PIRÃMIDE RAMPA ,2,Pendiente,
1089,2434,4429,OT #8334 — No hay,165,MK-15,ESCALA TRIPLE,2,Pendiente,
1090,2434,4429,OT #8334 — No hay,1028,MK-67,PLATO EQUILIBRIO ,2,Pendiente,
1091,2435,4422,OT #8337 — No hay,912,MK-72,CENTRO DE ESTIMULACION DE GATEO,1,Pendiente,
