decision_cliente,accion_requerida,codigo_normalizado,ejemplo_codigo_original,filas,pagos,cantidad_total,total_estimado,primera_fecha_doc,ultima_fecha_doc,muestras_pago_id,producto_destino_aprobado,comentario_cliente
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,5662,5662,1,1,1,2513,2022-09-29 00:00:00,2022-09-29 00:00:00,7730,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,5761,5761,1,1,1,10000,2022-09-12 00:00:00,2022-09-12 00:00:00,7496,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,60201,60201,1,1,60,94860,2024-04-02 00:00:00,2024-04-02 00:00:00,11273,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,6105,6105,1,1,1,71420,2022-12-14 00:00:00,2022-12-14 00:00:00,8098,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612000,612000,1,1,1,83250,2019-03-01 00:00:00,2019-03-01 00:00:00,2055,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612015,612015,1,1,1,34700,2019-03-08 00:00:00,2019-03-08 00:00:00,2144,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612040,612040,1,1,1,24200,2020-02-06 00:00:00,2020-02-06 00:00:00,3375,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612042,612042,1,1,1,0,2017-02-22 00:00:00,2017-02-22 00:00:00,74,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612043,612043,1,1,15,678705,2022-02-25 00:00:00,2022-02-25 00:00:00,6324,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,6120656,6120656,1,1,1,63500,2020-01-10 00:00:00,2020-01-10 00:00:00,3239,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612078,612078,1,1,1,53340,2019-05-24 00:00:00,2019-05-24 00:00:00,2334,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612086,612086,1,1,2,6660,2018-04-25 00:00:00,2018-04-25 00:00:00,1612,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612103,612103,1,1,1,0,2017-02-23 00:00:00,2017-02-23 00:00:00,76,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612108,612108,1,1,2,13880,2020-02-06 00:00:00,2020-02-06 00:00:00,3375,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612117,612117,1,1,6,45840,2020-02-06 00:00:00,2020-02-06 00:00:00,3375,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612121,612121,1,1,3,103500,2019-08-28 00:00:00,2019-08-28 00:00:00,2697,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612126,612126,1,1,1,6940,2018-05-25 00:00:00,2018-05-25 00:00:00,1734,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612130,612130,1,1,7,241500,2019-08-21 00:00:00,2019-08-21 00:00:00,2658,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612133,612133,1,1,1,34500,2019-04-11 00:00:00,2019-04-11 00:00:00,2654,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612139,612139,1,1,10,414000,2019-09-06 00:00:00,2019-09-06 00:00:00,2751,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612145,612145,1,1,3,38610,2019-08-09 00:00:00,2019-08-09 00:00:00,2614,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612157,612157,1,1,2,214500,2019-08-09 00:00:00,2019-08-09 00:00:00,2614,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612163,612163,1,1,1,66660,2017-02-03 00:00:00,2017-02-03 00:00:00,42,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,612301,612301,1,1,4,283780,2022-02-25 00:00:00,2022-02-25 00:00:00,6324,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,638870,638870,1,1,1,14277,2024-11-04 00:00:00,2024-11-04 00:00:00,12653,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,6436,6436,1,1,1,142848,2024-05-29 00:00:00,2024-05-29 00:00:00,11744,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,650765,650765,1,1,1,16462,2024-11-26 00:00:00,2024-11-26 00:00:00,12837,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,6598439,6598439,1,1,2,4688,2024-11-12 00:00:00,2024-11-12 00:00:00,12682,"",""
"",MAPEAR_PRODUCTO_O_DEJAR_CODIGO_LEGACY,6886868,6886868,1,1,1,16798,2024-11-06 00:00:00,2024-11-06 00:00:00,12648,"",""
