decision_cliente,accion_requerida,codigo_vendedor,compras,primera_fecha,ultima_fecha,total_compras,muestras_n_compra,usuario_actual_aprobado,comentario_cliente
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1076,32,2018-08-22 15:34:18,2018-11-15 14:20:21,5548958,20180822033418 | 20181011035407 | 20181011061508 | 20181012111214 | 20181012121606 | 20181012012828 | 20181016114930 | 20181016120056,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1069,25,2018-10-25 17:06:16,2018-11-28 12:48:47,9485889,20181025050616 | 20181030120703 | 20181031064811 | 20181121063738 | 20181121073110 | 20181121074022 | 20181121084137 | 20181121084920,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1036,24,2017-08-12 19:12:09,2017-09-14 14:57:02,4249518,20170812071209 | 20170812072403 | 20170813095356 | 20170813125756 | 20170813030155 | 20170813065326 | 20170813103851 | 20170813104441,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1203,22,2025-10-06 16:22:43,2025-10-29 12:42:07,25603345,20251006042243 | 20251009114641 | 20251014115138 | 20251014011731 | 20251014014231 | 20251014042555 | 20251015084251 | 20251015021223,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1124,20,2022-07-22 22:20:37,2024-06-26 08:48:29,2179959,20220722102036 | 20220808112206 | 20220817094505 | 20220830014556 | 20221210113949 | 20230225094835 | 20230417055437 | 20230731093453,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1095,15,2019-09-06 12:48:20,2019-10-17 18:58:57,6768603,20190906124820 | 20190912013459 | 20190912065658 | 20190912073800 | 20190912081446 | 20190923034247 | 20190930024622 | 20190930034504,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1099,14,2019-11-08 15:27:40,2019-12-03 21:18:47,21839845,20191108032740 | 20191112081132 | 20191112115216 | 20191113043430 | 20191114012121 | 20191115013016 | 20191115072958 | 20191115093251,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1019,10,2017-02-24 11:14:21,2017-04-27 17:04:42,8208800,20170224111421 | 20170322101409 | 20170331093338 | 20170411120154 | 20170412124737 | 20170421094805 | 20170421035532 | 20170424093140,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1096,8,2019-08-01 14:49:24,2019-08-15 19:25:09,8024553,20190801024924 | 20190801055355 | 20190801064157 | 20190802112408 | 20190802011134 | 20190805055725 | 20190809061758 | 20190815072509,"",""
"",MAPEAR_CODIGO_VENDEDOR_A_USUARIO_O_DEJAR_LEGACY,1213,8,2025-11-27 15:22:39,2026-02-16 15:47:54,373304,20251127032239 | 20251128085112 | 20251128113947 | 20251128035702 | 20251204085554 | 20251205035619 | 20251217105822 | 20260216034754,"",""
