decision_cliente,accion_requerida,legacy_id,codigo_interno,stock,fecha,usuario,comentario_cliente
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,39,F1279,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,40,JUEGSET-06,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,41,JUEGSET-16,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,42,JUEGSET-18,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,43,JUEGSET-71,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,44,ME12531,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,45,MK11145,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,46,MMQ001,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,47,PT-EV00523,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,48,PT-EV00605,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,49,PT-EV00824,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,50,R62010,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,51,R62301,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,52,S601003,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,53,SG091,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,54,T101003,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,55,T201034,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,56,T501023,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,57,T601003,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,58,T701002,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,59,1004,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,60,4234,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,61,4340,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,62,A510016,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,63,A5826,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,64,B0639,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,65,BB606,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,66,C108016-1,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,67,C304001,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,68,C309006,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,69,C502003,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,70,D101003-3,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,71,D101024,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,72,D103005-1,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,73,D201049,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,74,D203018-1,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,75,D207037,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,76,D207078,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,77,D207083,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,78,D208002,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,79,D209005,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,80,D230006,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,81,D230011,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,82,D230022,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,83,D301005,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,84,D301030,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,85,D302010,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,86,D302011,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,87,D302053,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,88,D306036,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,89,D450026,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,90,D503008,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,91,D503021,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,92,D603007,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,93,D701018,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,94,D701031,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,95,D701057,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,96,D701060,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,97,D705001,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,98,D705008,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,99,D705048,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,100,D705088,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,101,D707013-1,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,102,D780001,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,103,D801016,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,104,D803012-13-14-15,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,105,D803026,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,106,D807019A,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,107,D809002,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,108,D901036,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,109,JUEGPLAS1254,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,110,JUEGSET-21,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,111,JUEGSET-24,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,112,JUEGSET-40,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,113,JUEGSET-96,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,114,ME06899,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,115,MK01726,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,116,MK08893,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,117,NCD06001,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,118,NCD06003,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,119,NCD06007,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,120,PT-EV00520B,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,121,S501003,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,122,SMX221,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,123,T201109,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,124,T401024,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,125,T401052,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,126,T401053,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,127,T601005,0,2025-08-21 12:52:20,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,128,D306022,5,2025-08-21 12:52:57,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,129,PT-EV00609,6,2025-08-21 12:52:57,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,130,PT-EV00608,2,2025-08-21 12:52:57,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,131,AA-5360,4,2025-08-21 12:52:57,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,132,E0884,3,2025-08-21 12:52:57,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,133,D750006,5,2025-08-21 12:52:57,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,134,D750005,5,2025-08-21 12:52:57,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,135,D508002,3,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,136,D230002,1,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,137,d209006,2,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,138,t201092,2,2025-08-21 12:52:58,Gerardo Mercier,
,CONFIRMAR_SI_ES_LECTURA_STOCK_O_MOVIMIENTO,139,a2120,1,2025-08-21 12:52:58,Gerardo Mercier,
